stringNum	noteStime	TrueSuccess	perceivedSuccess
0	0	False	False
0	3179.37199999985	False	False
0	4769.05799999985	False	False
2.25	6358.74399999985	False	False
2.25	7948.42999999985	False	False
0	9538.11599999985	False	False
0	11127.8019999999	False	False
2.25	12717.4879999999	False	False
2.25	14307.1739999999	False	False
0	15896.8599999999	False	False
0	17486.5459999999	False	False
2.25	19076.2319999999	False	False
2.25	20665.9179999999	False	False
0	22255.6039999999	False	False
0	23845.2899999999	False	False
2.25	25434.9759999999	False	False
2.25	27024.6619999999	False	False
0	28614.3479999999	False	False
2.25	30204.0339999999	False	False
0	31793.7199999999	False	False
2.25	33383.4059999999	False	False
0	34973.0919999999	False	False
2.25	36562.7779999999	False	False
0	38152.4639999999	False	False
2.25	39742.1499999999	False	False
